,0
212," Colombia (COL / 212)
center: [-73.08070655   3.91394921]"
213," People's Republic of China (CHN / 213)
center: [103.79740634  36.61687112]"
214," Macau (MAC / 214)
center: [113.50932116  22.22311688]"
215," Hong Kong (HKG / 215)
center: [114.13918765  22.43917627]"
216," Chile (CHL / 216)
center: [-71.31112819 -35.74807517]"
217," Chad (TCD / 217)
center: [18.64492513 15.33333758]"
218," Central African Republic (CAF / 218)
center: [20.46826831  6.56823297]"
219," Cape Verde (CPV / 219)
center: [-23.6371491   15.08240468]"
220," Canada (CAN / 220)
center: [-102.36576644   57.93467961]"
221," Cameroon (CMR / 221)
center: [12.73964156  5.69109849]"
222," Cambodia (KHM / 222)
center: [104.90793942  12.7209729 ]"
223," Myanmar (MMR / 223)
center: [96.48864617 21.221488  ]"
224," Burundi (BDI / 224)
center: [29.87512156 -3.35939666]"
225," Burkina Faso (BFA / 225)
center: [-1.75456601 12.26953846]"
226," Bulgaria (BGR / 226)
center: [25.21552909 42.76890318]"
227," Brunei (BRN / 227)
center: [114.59195822   4.49048994]"
228," Brazil (BRA / 228)
center: [-53.11693615 -10.84047608]"
229," Botswana (BWA / 229)
center: [ 23.79853368 -22.18403213]"
230," Republika Srpska (-99 / 230)
center: [18.04200398 44.252015  ]"
231," Federation of Bosnia and Herzegovina (-99 / 231)
center: [17.50361623 44.08915536]"
232," Bolivia (BOL / 232)
center: [-64.68538645 -16.70814787]"
233," Bhutan (BTN / 233)
center: [90.40188155 27.41106589]"
234," Benin (BEN / 234)
center: [2.32785254 9.6417597 ]"
235," Belize (BLZ / 235)
center: [-88.71846155  17.19473112]"
236," Flemish Brabant (-99 / 236)
center: [ 4.21237053 51.03773231]"
237," Walloon Brabant (-99 / 237)
center: [ 4.99254132 50.31436823]"
238," Brussels Capital Region (-99 / 238)
center: [ 4.33791304 50.83301698]"
239," Belarus (BLR / 239)
center: [28.03209307 53.53131377]"
240," Barbados (BRB / 240)
center: [-59.559797    13.18145428]"
241," Bangladesh (BGD / 241)
center: [90.22405508 23.89751969]"
242," Bahrain (BHR / 242)
center: [50.54196932 26.04205135]"
243," The Bahamas (BHS / 243)
center: [-78.03780359  24.7013991 ]"
244," Azerbaijan (AZE / 244)
center: [47.66493967 40.34399711]"
245," Austria (AUT / 245)
center: [14.1264761  47.58549439]"
246," Australia (AUS / 246)
center: [134.35514544 -25.57318043]"
247," Christmas Island (CXR / 247)
center: [105.66238708 -10.49269337]"
248," Cocos (CCK / 248)
center: [ 96.84244247 -12.1678885 ]"
249," Heard Island and McDonald Islands (HMD / 249)
center: [ 73.5205171  -53.08724656]"
250," Norfolk Island (NFK / 250)
center: [167.94921678 -29.0514609 ]"
251," Ashmore and Cartier Islands (-99 / 251)
center: [123.58383789 -12.42993164]"
252," Armenia (ARM / 252)
center: [44.92914119 40.28906214]"
253," Argentina (ARG / 253)
center: [-65.15610281 -35.17996177]"
254," Antigua (-99 / 254)
center: [-61.78996503  17.07777802]"
255," Barbuda (-99 / 255)
center: [-61.80316791  17.63545076]"
256," Angola (AGO / 256)
center: [ 17.56443992 -12.33194931]"
257," Andorra (AND / 257)
center: [ 1.56054378 42.54229102]"
258," Algeria (DZA / 258)
center: [ 2.61732301 28.15893849]"
259," Albania (ALB / 259)
center: [20.04983396 41.14244989]"
260," Afghanistan (AFG / 260)
center: [66.00473366 33.83523073]"
261," Siachen Glacier (-99 / 261)
center: [77.18011865 35.39236325]"
262," Antarctica (ATA / 262)
center: [ 20.80425935 -80.56015146]"
263," Sint Maarten (SXM / 263)
center: [-63.05713363  18.05081728]"
264," Tuvalu (TUV / 264)
center: [179.20556525  -8.50345126]"
