,0
209,"Region: Brunei (BRN / 209)
center: [114.59195822   4.49048994]"
210,"Region: Brazil (BRA / 210)
center: [-53.11693615 -10.84047608]"
211,"Region: Botswana (BWA / 211)
center: [ 23.79853368 -22.18403213]"
212,"Region: Bosnia and Herzegovina (BIH / 212)
center: [17.76876733 44.17450125]"
213,"Region: Bolivia (BOL / 213)
center: [-64.68538645 -16.70814787]"
214,"Region: Bhutan (BTN / 214)
center: [90.40188155 27.41106589]"
215,"Region: Benin (BEN / 215)
center: [2.32785254 9.6417597 ]"
216,"Region: Belize (BLZ / 216)
center: [-88.71846155  17.19473112]"
217,"Region: Belgium (BEL / 217)
center: [ 4.63873576 50.63958964]"
218,"Region: Belarus (BLR / 218)
center: [28.03209307 53.53131377]"
219,"Region: Barbados (BRB / 219)
center: [-59.559797    13.18145428]"
220,"Region: Bangladesh (BGD / 220)
center: [90.22405508 23.89751969]"
221,"Region: Bahrain (BHR / 221)
center: [50.54196932 26.04205135]"
222,"Region: The Bahamas (BHS / 222)
center: [-78.03780359  24.7013991 ]"
223,"Region: Azerbaijan (AZE / 223)
center: [47.66493967 40.34399711]"
224,"Region: Austria (AUT / 224)
center: [14.1264761  47.58549439]"
225,"Region: Australia (AUS / 225)
center: [134.35514544 -25.57318043]"
226,"Region: Australian Indian Ocean Territories (-99 / 226)
center: [105.66238708 -10.49269337]"
227,"Region: Heard Island and McDonald Islands (HMD / 227)
center: [ 73.5205171  -53.08724656]"
228,"Region: Norfolk Island (NFK / 228)
center: [167.94921678 -29.0514609 ]"
229,"Region: Ashmore and Cartier Islands (-99 / 229)
center: [123.58383789 -12.42993164]"
230,"Region: Armenia (ARM / 230)
center: [44.92914119 40.28906214]"
231,"Region: Argentina (ARG / 231)
center: [-65.15610281 -35.17996177]"
232,"Region: Antigua and Barbuda (ATG / 232)
center: [-61.78996503  17.07777802]"
233,"Region: Angola (AGO / 233)
center: [ 17.56443992 -12.33194931]"
234,"Region: Andorra (AND / 234)
center: [ 1.56054378 42.54229102]"
235,"Region: Algeria (DZA / 235)
center: [ 2.61732301 28.15893849]"
236,"Region: Albania (ALB / 236)
center: [20.04983396 41.14244989]"
237,"Region: Afghanistan (AFG / 237)
center: [66.00473366 33.83523073]"
238,"Region: Siachen Glacier (-99 / 238)
center: [77.18011865 35.39236325]"
239,"Region: Antarctica (ATA / 239)
center: [ 20.80425935 -80.56015146]"
240,"Region: Sint Maarten (SXM / 240)
center: [-63.05713363  18.05081728]"
241,"Region: Tuvalu (TUV / 241)
center: [179.20556525  -8.50345126]"
