,0
167," Hokkaido Prefecture (-99 / 167)
center: [142.5802094   43.37826458]"
168," Kyushu (-99 / 168)
center: [130.87531659  32.64082413]"
169," Shikoku (-99 / 169)
center: [133.47143151  33.65498239]"
170," Honshu (-99 / 170)
center: [137.98543797  36.65005253]"
171," Ryukyu Islands (-99 / 171)
center: [127.96534539  26.50147162]"
172," Izu Islands (-99 / 172)
center: [139.81599843  33.09046903]"
173," Jamaica (JAM / 173)
center: [-77.31482593  18.15694878]"
174," Italy (-99 / 174)
center: [12.14876278 43.52936379]"
175," Pantelleria Island (-99 / 175)
center: [11.99074007 36.79308729]"
176," Sicily (-99 / 176)
center: [14.15539713 37.59291214]"
177," Sardinia (-99 / 177)
center: [ 9.03761189 40.09501312]"
178," Israel (ISR / 178)
center: [34.99533998 31.44260691]"
179," Gaza Strip (-99 / 179)
center: [34.34757503 31.39150041]"
180," West Bank (-99 / 180)
center: [35.24782508 31.94799759]"
181," Ireland (IRL / 181)
center: [-8.13451684 53.17404076]"
182," Iraq (IRQ / 182)
center: [43.74353149 33.03970582]"
183," Iran (IRN / 183)
center: [54.27280622 32.57971265]"
184," Indonesia (IDN / 184)
center: [114.01420942  -0.19085395]"
185," India (-99 / 185)
center: [79.585565  22.9090946]"
186," Nicobar Islands (-99 / 186)
center: [93.80045671  7.02425028]"
187," Andaman Islands (-99 / 187)
center: [92.82241763 12.53593202]"
188," Lakshadweep (-99 / 188)
center: [73.05573647  8.27523414]"
189," Iceland (ISL / 189)
center: [-18.57396167  64.99575386]"
190," Hungary (HUN / 190)
center: [19.39559116 47.16277506]"
191," Honduras (HND / 191)
center: [-86.61582456  14.82371533]"
192," Haiti (HTI / 192)
center: [-72.67555568  18.92830082]"
193," Guyana (GUY / 193)
center: [-58.98202459   4.79378034]"
194," Guinea-Bissau (GNB / 194)
center: [-14.92365323  12.0639568 ]"
195," Guinea (GIN / 195)
center: [-10.94066612  10.43621593]"
196," Guatemala (GTM / 196)
center: [-90.36482009  15.69403663]"
197," Grenada (GRD / 197)
center: [-61.68220189  12.11725044]"
198," Greece (GRC / 198)
center: [22.58465259 39.479079  ]"
199," Ghana (GHA / 199)
center: [-1.21676566  7.95345644]"
200," Germany (DEU / 200)
center: [10.37213776 51.08764058]"
201," Georgia (-99 / 201)
center: [43.50780252 42.16855755]"
202," The Gambia (GMB / 202)
center: [-15.39601295  13.44965244]"
203," Gabon (GAB / 203)
center: [11.7886287  -0.58660025]"
