,0
127," Shanghai (CN-SH / 127)
center: [121.37692439  31.08770949]"
128," Zhejiang (CN-ZJ / 128)
center: [120.03830436  29.16740653]"
129," Jilin (CN-JL / 129)
center: [126.17244382  43.67826488]"
130," Inner Mongolia (CN-NM / 130)
center: [113.90653635  44.08092523]"
131," Heilongjiang (CN-HL / 131)
center: [127.74390468  47.87397808]"
132," Aceh (ID-AC / 132)
center: [96.92708814  4.31781643]"
133," East Kalimantan (ID-KI / 133)
center: [116.37084873   1.34140898]"
134," West Java (ID-JB / 134)
center: [107.60956331  -6.91574089]"
135," Central Java (ID-JT / 135)
center: [110.2125709   -7.26968453]"
136," Bengkulu (ID-BE / 136)
center: [102.37697127  -3.5364202 ]"
137," Banten (ID-BT / 137)
center: [106.11791907  -6.46241623]"
138," Jakarta (ID-JK / 138)
center: [106.85099351  -6.19839291]"
139," West Kalimantan (ID-KB / 139)
center: [ 1.1116989e+02 -8.5429867e-02]"
140," Lampung (ID-LA / 140)
center: [105.02572985  -4.91943294]"
141," South Sumatra (ID-SS / 141)
center: [104.18392909  -3.23653871]"
142," Bangka Belitung Islands (ID-BB / 142)
center: [105.98826192  -2.23375894]"
143," Bali (ID-BA / 143)
center: [115.13494014  -8.36193785]"
144," East Java (ID-JI / 144)
center: [112.63164822  -7.8228373 ]"
145," South Kalimantan (ID-KS / 145)
center: [115.38534728  -2.92904484]"
146," East Nusa Tenggara (ID-NT / 146)
center: [121.1556492   -8.59592451]"
147," South Sulawesi (ID-SN / 147)
center: [120.16817158  -3.59405793]"
148," West Sulawesi (ID-SR / 148)
center: [119.34757959  -2.46181853]"
149," Riau Islands (ID-KR / 149)
center: [108.21464915   3.93427881]"
150," Gorontalo (ID-GO / 150)
center: [122.3544029    0.68653926]"
151," Jambi (ID-JA / 151)
center: [102.75884653  -1.68583764]"
152," Central Kalimantan (ID-KT / 152)
center: [113.42890966  -1.59379733]"
153," West Papua (ID-PB / 153)
center: [133.15920859  -2.09792895]"
154," North Sumatra (ID-SU / 154)
center: [99.13599107  2.3234168 ]"
155," Riau (ID-RI / 155)
center: [101.7455878    0.45101909]"
156," North Sulawesi (ID-SA / 156)
center: [124.25264621   0.87380034]"
157," North Maluku (ID-MU / 157)
center: [128.01344955   0.86510319]"
158," West Sumatra (ID-SB / 158)
center: [100.62541687  -0.66256687]"
159," Yogyakarta (ID-YO / 159)
center: [110.45471849  -7.90035114]"
160," Maluku (ID-MA / 160)
center: [129.45338841  -3.1968572 ]"
161," West Nusa Tenggara (ID-NB / 161)
center: [117.85734895  -8.62755172]"
162," Southeast Sulawesi (ID-SG / 162)
center: [121.83548966  -3.81012602]"
163," Central Sulawesi (ID-ST / 163)
center: [121.10149323  -0.97811068]"
164," Papua (ID-PA / 164)
center: [138.70969276  -4.55622894]"
165," Telangana (IN-TG / 165)
center: [79.04947929 17.79715231]"
166," Ladakh (IN-LA / 166)
center: [77.61249892 33.89728443]"
167," Chandigarh (IN-CH / 167)
center: [76.77776077 30.73862162]"
168," Delhi (IN-DL / 168)
center: [77.10932543 28.65936527]"
169," Himachal Pradesh (IN-HP / 169)
center: [77.22213382 31.93413631]"
170," Haryana (IN-HR / 170)
center: [76.33408229 29.20826586]"
171," Jammu and Kashmir (IN-JK / 171)
center: [75.08052881 33.55732861]"
172," Andhra Pradesh (IN-AP / 172)
center: [79.92490443 15.72010065]"
173," Kerala (IN-KL / 173)
center: [76.42407171 10.42250719]"
174," Lakshadweep (IN-LD / 174)
center: [73.05573647  8.27523414]"
175," Odisha (IN-OR / 175)
center: [84.4159855  20.51692654]"
176," Dadra and Nagar Haveli and Daman and Diu (IN-DH / 176)
center: [73.02833273 20.1647844 ]"
177," Karnataka (IN-KA / 177)
center: [76.15354741 14.71917788]"
178," Goa (IN-GA / 178)
center: [74.05252264 15.34431696]"
179," Andaman and Nicobar Islands (IN-AN / 179)
center: [92.82241763 12.53593202]"
180," Assam (IN-AS / 180)
center: [92.83279797 26.35703926]"
181," Manipur (IN-MN / 181)
center: [93.86041172 24.73114195]"
182," Nagaland (IN-NL / 182)
center: [94.44909301 26.06249199]"
183," Meghalaya (IN-ML / 183)
center: [91.28420658 25.53770024]"
184," Punjab (IN-PB / 184)
center: [75.4044528  30.84631677]"
185," Rajasthan (IN-RJ / 185)
center: [73.8355446  26.59202015]"
186," Uttar Pradesh (IN-UP / 186)
center: [80.54537802 26.93407505]"
187," Uttarakhand (IN-UT / 187)
center: [79.19758172 30.16119053]"
188," Jharkhand (IN-JH / 188)
center: [85.53288519 23.64442583]"
189," West Bengal (IN-WB / 189)
center: [87.96803573 23.81161177]"
190," Bihar (IN-BR / 190)
center: [85.6050575  25.66484786]"
191," Chhattisgarh (IN-CT / 191)
center: [82.03430758 21.25800325]"
192," Madhya Pradesh (IN-MP / 192)
center: [78.29311463 23.5390921 ]"
193," Puducherry (IN-PY / 193)
center: [79.79652248 10.91024007]"
194," Tamil Nadu (IN-TN / 194)
center: [78.39893974 11.01352127]"
195," Gujarat (IN-GJ / 195)
center: [71.56056117 22.71487299]"
196," Arunachal Pradesh (IN-AR / 196)
center: [94.64917505 28.04735694]"
197," Mizoram (IN-MZ / 197)
center: [92.81586598 23.28848079]"
198," Tripura (IN-TR / 198)
center: [91.72786315 23.7565557 ]"
199," Tomsk (RU-TOM / 199)
center: [82.1390468 58.4970858]"
200," Republic of Adygea (RU-AD / 200)
center: [39.97501295 44.5647994 ]"
201," Karachay-Cherkess Republic (RU-KC / 201)
center: [41.74300052 43.75798699]"
202," Republic of Ingushetia (RU-IN / 202)
center: [44.87031115 43.17898146]"
203," Kabardino-Balkaria (RU-KB / 203)
center: [43.38804584 43.48384044]"
204," Republic of North Ossetia-Alania (RU-SE / 204)
center: [44.26358157 43.09423165]"
205," Stavropol Krai (RU-STA / 205)
center: [43.35294793 44.95124204]"
206," Chukotka Autonomous Okrug (RU-CHU / 206)
center: [170.6596257   66.44395391]"
207," Kaliningrad (RU-KGD / 207)
center: [21.38509661 54.72183806]"
208," Murmansk (RU-MUR / 208)
center: [33.84947619 65.64806082]"
209," Novgorod (RU-NGR / 209)
center: [32.47876046 58.30619323]"
210," Pskov (RU-PSK / 210)
center: [29.23551072 57.22536675]"
211," Leningrad (RU-LEN / 211)
center: [31.708177   60.00838086]"
212," Saint Petersburg (RU-SPE / 212)
center: [30.19555545 59.90033239]"
213," Bryansk (RU-BRY / 213)
center: [33.40610343 52.90320384]"
214," Smolensk (RU-SMO / 214)
center: [32.99470442 54.94937416]"
215," Karelia (RU-KR / 215)
center: [35.72127242 65.10254722]"
216," Arkhangelsk (RU-ARK / 216)
center: [43.11603779 63.4181873 ]"
217," Ivanovo (RU-IVA / 217)
center: [41.69705944 57.01414863]"
218," Vologda (RU-VLG / 218)
center: [40.49542676 59.96729941]"
219," Kostroma (RU-KOS / 219)
center: [43.79582536 58.45882219]"
220," Nizhny Novgorod (RU-NIZ / 220)
center: [44.63454885 56.29240862]"
221," Tver (RU-TVE / 221)
center: [34.71378841 57.08948922]"
222," Yaroslavl (RU-YAR / 222)
center: [39.13400584 57.87196092]"
223," Kaluga (RU-KLU / 223)
center: [35.44516926 54.37068822]"
224," Kursk (RU-KRS / 224)
center: [36.07310671 51.67604705]"
225," Lipetsk (RU-LIP / 225)
center: [39.13227366 52.64571066]"
226," Moscow (RU-MOW / 226)
center: [37.66949028 55.66692785]"
227," Moscow (RU-MOS / 227)
center: [37.37978943 55.482417  ]"
228," Oryol (RU-ORL / 228)
center: [36.47464217 52.78318404]"
229," Rostov (RU-ROS / 229)
center: [41.30367362 47.74769148]"
230," Tula (RU-TUL / 230)
center: [37.56007529 53.89335239]"
231," Volgograd (RU-VGG / 231)
center: [44.15656801 49.61542642]"
232," Belgorod (RU-BEL / 232)
center: [37.47604704 50.66569913]"
233," Krasnodar Krai (RU-KDA / 233)
center: [39.46626995 45.25698188]"
234," Republic of Mordovia (RU-MO / 234)
center: [44.43635766 54.36989497]"
235," Penza (RU-PNZ / 235)
center: [44.64656129 53.19264771]"
236," Ryazan (RU-RYA / 236)
center: [40.61750282 54.32617282]"
237," Tambov (RU-TAM / 237)
center: [41.58306033 52.68569979]"
238," Vladimir (RU-VLA / 238)
center: [40.65713909 56.01265151]"
239," Voronezh (RU-VOR / 239)
center: [40.22005653 50.97111358]"
240," Bashkortostan (RU-BA / 240)
center: [56.50887972 54.27204696]"
241," Chelyabinsk (RU-CHE / 241)
center: [60.38557469 54.45193751]"
242," Kurgan (RU-KGN / 242)
center: [64.80421733 55.44842088]"
243," Nenets Autonomous Okrug (RU-NEN / 243)
center: [55.0194023  67.79886917]"
244," Yamalo-Nenets Autonomous Okrug (RU-YAN / 244)
center: [74.52891889 67.09615069]"
245," Komi Republic (RU-KO / 245)
center: [54.77955888 64.12679258]"
246," Kirov (RU-KIR / 246)
center: [49.82779146 58.68536535]"
247," Mari El Republic (RU-ME / 247)
center: [47.94230815 56.58053342]"
248," Sverdlovsk (RU-SVE / 248)
center: [61.5306074  58.59589717]"
249," Udmurt Republic (RU-UD / 249)
center: [52.78666828 57.17545591]"
250," Astrakhan (RU-AST / 250)
center: [47.26909098 47.16585915]"
251," Chuvash Republic (RU-CU / 251)
center: [47.09001795 55.49427413]"
252," Republic of Kalmykia (RU-KL / 252)
center: [45.315718   46.44372508]"
253," Samara (RU-SAM / 253)
center: [50.46461207 53.2803293 ]"
254," Orenburg (RU-ORE / 254)
center: [55.61271853 51.99324695]"
255," Saratov (RU-SAR / 255)
center: [46.79330494 51.58439527]"
256," Republic of Tatarstan (RU-TA / 256)
center: [50.91748976 55.3586807 ]"
257," Ulyanovsk (RU-ULY / 257)
center: [47.94915966 53.89906325]"
258," Khanty-Mansi Autonomous Okrug (RU-KHM / 258)
center: [70.29170525 61.86746345]"
259," Omsk (RU-OMS / 259)
center: [73.34684738 56.1111925 ]"
260," Tyumen (RU-TYU / 260)
center: [69.13097366 57.68259446]"
261," Altai Republic (RU-ALT / 261)
center: [82.6036313 52.6091784]"
262," Altai Republic (RU-AL / 262)
center: [87.02279334 50.72704739]"
263," Kemerovo (RU-KEM / 263)
center: [87.21749448 54.7923362 ]"
264," Republic of Khakassia (RU-KK / 264)
center: [89.85169559 53.36245774]"
265," Novosibirsk (RU-NVS / 265)
center: [79.7561584  55.28143093]"
266," Chechen Republic (RU-CE / 266)
center: [45.73613491 43.30272111]"
267," Republic of Dagestan (RU-DA / 267)
center: [46.86733549 43.01563659]"
268," Irkutsk (RU-IRK / 268)
center: [106.36055913  57.09360418]"
269," Krasnoyarsk Krai (RU-KYA / 269)
center: [95.95984658 67.01277062]"
270," Tuva Republic (RU-TY / 270)
center: [94.79053947 51.58074013]"
271," Republic of Buryatia (RU-BU / 271)
center: [109.47722499  53.54477503]"
272," Amur (RU-AMU / 272)
center: [127.72781182  53.39936104]"
273," Zabaykalsky Krai (RU-ZAB / 273)
center: [116.19900845  52.83890954]"
274," Primorsky Krai (RU-PRI / 274)
center: [134.70099698  45.16524421]"
275," Sakha Republic (RU-SA / 275)
center: [129.87282581  65.99442395]"
276," Jewish (RU-YEV / 276)
center: [132.26250913  48.52224841]"
277," Khabarovsk Krai (RU-KHA / 277)
center: [137.32074495  54.82123408]"
278," Magadan (RU-MAG / 278)
center: [153.9811426   62.71129728]"
279," Sakhalin (RU-SAK / 279)
center: [142.71888892  50.33223767]"
280," Autonomous Republic of Crimea (UA-43 / 280)
center: [34.36565184 45.32880192]"
281," Perm Krai (RU-PER / 281)
center: [56.22547206 59.11543015]"
282," Kamchatka Krai (RU-KAM / 282)
center: [162.98580181  58.94162977]"
283," Sevastopol (UA-40 / 283)
center: [33.63952109 44.58012051]"
284," Northern Cape (ZA-NC / 284)
center: [ 21.40177597 -29.44801578]"
285," Western Cape (ZA-WC / 285)
center: [ 20.60275758 -33.00867007]"
286," North West (ZA-NW / 286)
center: [ 25.50710428 -26.26352481]"
287," Free State (ZA-FS / 287)
center: [ 26.86734915 -28.60312153]"
288," Gauteng (ZA-GT / 288)
center: [ 28.12083107 -26.10755252]"
289," Mpumalanga (ZA-MP / 289)
center: [ 30.28661501 -25.87711638]"
290," Limpopo (ZA-LP / 290)
center: [ 29.28030324 -23.78927872]"
291," KwaZulu-Natal (ZA-NL / 291)
center: [ 30.72131906 -28.72147428]"
292," Eastern Cape (ZA-EC / 292)
center: [ 26.4421207  -32.14755978]"
293," Maharashtra (IN-MH / 293)
center: [76.11577084 19.46112101]"
